@relation weka_12-weka.filters.unsupervised.attribute.Standardize

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 {C1,C2}

@data
-2.6881,0.55491,-2.0799,-0.77304,-15.545,-2.6481,0.51272,C1
-3.436,-1.8171,-6.2942,-3.1969,2.3897,2.7122,-2.7142,C1
-1.9055,0.43627,-3.3849,0.084965,-5.2599,-2.3702,-1.0171,C1
-5.2415,0.45378,-3.5344,1.995,-6.1724,-1.9788,-3.7123,C1
-2.6139,0.55991,-5.2198,-2.1764,4.6864,-2.7281,-4.9719,C1
-2.9702,1.8092,-3.613,0.2006,2.8645,2.5805,-2.94,C1
-0.26948,0.80489,-2.0028,0.17418,-3.1967,1.9203,-2.5071,C1
-1.7719,-0.46265,-1.7696,-2.1472,3.4222,-0.32929,-0.82485,C1
-0.010769,0.48734,-6.3134,-0.91039,-0.006028,-2.1474,-3.4322,C1
-3.9709,2.9166,1.2726,-0.66929,-0.15602,2.4836,0.037003,C1
0.052218,-0.27734,-4.6948,-0.55511,0.13681,-14.063,-0.94549,C1
-1.3324,0.90355,-3.3383,-1.9865,3.0107,0.7619,-2.5006,C1
-2.4965,1.7351,-4.4933,2.6484,-8.3136,-7.2884,-4.2538,C1
-7.8252,-1.4469,-2.5009,1.5731,4.9415,3.8992,-1.8044,C1
-1.3622,3.4829,0.22387,-0.97726,4.6632,0.53325,-1.1513,C1
-1.4825,1.8548,-3.5919,-0.55201,-1.3088,-5.575,-0.068111,C1
-3.8769,-4.4229,-4.8269,2.0928,3.9969,2.2122,-0.28616,C1
-3.6226,1.304,-5.6548,1.6369,3.1953,3.0905,-0.083189,C1
-3.2054,-1.0776,-4.3263,0.76689,-2.7884,-3.1955,-1.5023,C1
-2.655,1.5915,-5.2669,-1.6989,2.3509,4.0174,-0.90358,C1
-1.6403,0.45011,-3.3497,-4.3277,-3.8146,-2.2351,-0.6246,C1
-4.1144,-2.1791,-3.1377,-0.96845,1.4935,5.3491,-0.72557,C1
-2.0515,-2.0836,-5.9061,1.4692,2.741,2.5308,-4.7013,C1
-1.8002,2.4853,-4.4368,0.98762,1.165,4.1161,-3.0279,C1
-1.5645,0.50319,-7.5629,-1.5824,-2.8965,1.8081,-1.742,C1
-1.8213,0.66536,-2.702,0.015725,-4.7604,4.0031,-2.2417,C1
-2.0885,-0.81233,-1.6025,0.3732,-1.6311,-8.4346,-1.2658,C1
-1.8447,1.4384,-4.4774,2.8434,1.8136,-1.4249,-0.08021,C1
-4.2218,0.61821,-5.1354,0.91144,-3.4657,-1.8069,-0.35336,C1
0.21959,0.59589,-4.3541,0.5394,5.7184,2.4821,-2.7369,C1
-1.8883,-2.4207,-0.77366,0.51718,3.6101,3.444,-4.7397,C1
-3.8238,0.91245,-2.9887,2.0493,-2.9819,2.6279,-3.4787,C1
2.3081,0.20883,-4.6381,1.2252,-2.4107,2.1701,-5.9833,C1
-1.0903,-1.2121,-5.3019,-2.4505,-1.2949,-5.2637,-4.0697,C1
-1.4647,2.2006,0.50942,1.6453,1.526,-0.00288,-0.29608,C1
1.0344,-0.42403,-3.0964,-0.65867,0.74691,3.425,-6.6373,C1
-4.6326,2.4462,-1.5988,1.188,-3.448,3.8509,-4.2011,C1
-1.159,-0.98176,-2.0921,0.47038,3.532,-7.9293,-0.34261,C1
-3.4451,0.79063,-4.9599,-2.3192,-0.54404,-3.8966,-1.3375,C1
-3.0895,-0.76898,-6.3271,-5.1667,-2.787,-0.83153,-4.9348,C1
-2.9067,0.13923,-2.9538,1.3965,2.7534,-10.121,-3.5766,C1
-3.7082,0.33495,-1.9013,-0.72112,2.2233,5.5083,-1.8221,C1
-0.95859,1.2816,-3.7229,2.5552,4.7093,5.4191,-1.4775,C1
-3.3412,2.9261,-5.3275,2.8178,4.723,5.4164,-1.4624,C1
-3.0248,1.7674,-2.6602,-2.1997,4.2064,1.978,-0.048897,C1
-0.41305,0.13097,-2.2885,1.6647,1.1783,2.8803,-4.7614,C1
3.1321,-3.0645,-5.6067,-1.8862,4.6588,-0.63773,-1.1303,C1
-8.697,-1.6891,-5.0948,0.33508,-12.162,2.1115,-5.2871,C1
-2.4454,-2.0633,-7.6119,0.95619,2.4226,2.5154,-3.3868,C1
-3.9464,0.24517,-6.9955,1.6298,-5.8933,-4.969,-4.8296,C1
-2.659,0.57788,-1.2597,-1.3999,2.6168,1.2658,0.92549,C1
1.6457,-1.2911,-7.6786,1.3994,3.8375,2.3192,-5.8896,C1
-2.3238,0.57897,-3.116,-2.4283,-1.9747,-1.3313,-4.1784,C1
2.1453,-0.92046,-2.7622,1.0604,-5.213,1.559,-2.6452,C1
-2.219,-0.032866,-3.2575,0.44209,-6.6267,1.2243,-1.7857,C1
-2.5564,-0.63665,-2.6874,1.0789,0.03974,4.6729,-0.87166,C1
-3.4997,-3.0208,-4.4555,1.2668,1.8627,-2.1458,-5.0382,C1
-1.729,-0.14886,-8.7698,0.19605,3.6871,0.97317,-2.4184,C1
-1.7013,0.17116,-5.0631,-1.8359,3.2317,-4.3187,-0.98427,C1
-0.29783,0.93765,-3.4688,-1.3347,3.5876,0.83517,-2.5054,C1
-1.3903,0.7842,-4.2784,-1.1174,1.4468,3.6736,-0.22746,C1
-3.7136,-1.1404,-5.5144,-3.6207,3.8427,-0.037049,-5.86,C1
-1.0254,-3.8089,-3.2005,0.36166,-4.1853,4.3941,0.56537,C1
-6.1288,-0.4652,-5.1231,-1.6501,0.69744,1.9952,-4.1143,C1
2.4825,1.5053,-4.3381,1.212,5.3273,-10.382,-1.0338,C1
0.16149,3.0066,-5.5993,2.3679,-1.7687,1.8796,-3.0716,C1
-4.0539,0.70608,-6.4885,1.531,0.90715,-5.187,-1.9945,C1
0.039782,-2.1293,-3.3748,0.20151,1.1992,2.5753,-1.4419,C1
-1.9156,-1.4146,-0.99563,-0.32927,1.9663,-0.46909,-4.4352,C1
0.84626,0.15675,-1.9542,-2.1323,3.7686,3.9693,-4.442,C1
-1.8281,-1.2598,-4.3742,2.3053,-0.98454,-12.893,-1.1534,C1
-1.2039,0.52368,-4.475,-1.2227,-0.55537,2.6879,0.70261,C1
0.077413,2.7629,-2.1741,2.276,5.0434,3.3904,-1.8022,C1
-3.5358,0.89215,-5.6014,-2.02,3.6251,2.0002,-1.2062,C1
-1.175,-0.20226,-6.8722,-0.091336,5.7392,-1.5187,0.49999,C1
-4.297,2.5744,-2.0784,2.5222,-0.24942,2.5702,-2.5782,C1
-2.8994,1.599,-4.0036,-0.23643,0.70078,-11.122,-0.64443,C1
-1.9176,-1.6255,-3.1889,1.6934,0.77834,-1.067,-0.84008,C1
0.25599,-1.6632,-3.256,0.032944,4.2535,4.4632,-2.4803,C1
-2.3716,-0.3942,-4.7391,2.1818,1.1024,2.1851,0.18092,C1
-2.5885,2.5538,-7.2474,-2.1582,-3.2997,-7.549,-0.70347,C1
-5.5622,-0.28002,-5.1685,0.57679,2.8016,1.4565,-4.0217,C1
-3.1224,-2.588,-5.0824,-0.14184,0.28295,5.0318,-2.6474,C1
