@relation weka_12-weka.filters.unsupervised.attribute.Standardize

@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 {C1,C2,C3,C4}

@data
1.5971,-1.6044,6.4485,-0.60993,1.2298,0.60419,0.27897,-0.744244,C1
-0.56456,3.4895,4.9582,-0.49063,-1.4497,-0.16819,3.010911,-0.194808,C1
-2.4004,3.6241,8.5285,0.15913,-1.6116,-0.5548,-6.944039,0.910007,C1
-0.66614,-2.0134,5.6351,0.65682,-2.328,0.5255,-8.865521,-1.039332,C1
-1.0587,2.3799,5.7532,0.081916,-0.76729,-1.0103,-1.175063,2.102607,C1
-1.4185,3.4398,6.1816,0.82803,1.0449,-2.5193,-3.315118,-0.878824,C1
-2.5173,-0.77001,8.2828,-0.35053,0.063536,0.60479,-8.39254,0.362542,C1
-0.60537,2.9493,6.0881,1.6301,-0.54734,-1.7622,-5.0557,0.274035,C1
1.7147,0.26351,5.6637,-1.1334,0.99223,-2.3559,8.511405,-0.323488,C1
3.9726,0.52191,5.2406,-0.70636,-0.66729,1.7605,-4.509155,1.527104,C1
0.54998,-1.9584,7.6561,0.31757,-2.5482,-1.8295,-0.56468,-0.228192,C1
4.0055,-1.445,6.057,-0.51867,2.6904,1.118,1.79464,0.305671,C1
-2.019,-1.0633,5.1676,-0.6974,0.88276,-0.98078,-8.688706,-1.477617,C1
-2.3275,1.6354,6.2724,-0.38288,0.048881,-2.455,-1.567272,-1.414685,C1
-1.6808,0.14845,4.7532,-0.72957,0.47784,-0.24001,-1.722659,-1.252355,C1
-0.80082,1.8383,5.3752,1.1807,-1.383,-1.0827,3.995141,1.257679,C1
2.3154,-1.3543,5.418,0.52139,-1.4175,-2.3873,-3.267546,-1.061634,C1
-0.016859,2.535,5.4214,0.85962,3.8375,-0.3423,-1.359953,-0.436141,C1
-0.8099,-1.3605,5.362,-0.18002,0.045083,0.60332,3.461042,-0.422484,C1
1.5598,0.22451,4.813,-0.65416,0.55736,-1.2113,-0.326597,-1.286289,C1
2.7409,-1.0438,7.6271,0.65451,0.76031,3.1968,1.659014,1.177701,C1
-0.041104,-0.28878,6.4214,-1.2591,-0.39892,2.4119,-1.465863,-1.332814,C1
0.10182,-1.0699,5.7379,0.20048,-1.7303,5.3087,-0.371438,-2.532159,C1
-2.268,1.1208,6.171,0.058427,-1.5633,-0.44372,-0.85793,0.924222,C1
-2.1958,-1.8948,8.3181,-0.33727,0.27873,7.5467,-7.298141,0.235112,C1
-1.6087,-2.6392,5.0164,-1.3862,4.2701,0.42898,-1.890287,-0.10706,C1
-1.1264,-1.1475,4.7347,1.3677,4.3787,-2.401,-0.91577,1.51145,C1
-0.51533,-2.1533,5.1338,-0.93972,1.0623,-0.64566,-1.067102,-0.137323,C1
-0.36601,-2.3119,5.7107,-1.2305,0.86097,1.2588,-4.932864,-0.164948,C1
-0.095525,-0.53773,6.1599,0.97611,-1.6512,2.3496,-1.357932,-0.95544,C1
-1.4781,-1.8877,7.8287,0.25158,-2.6639,2.7067,-2.40522,-0.6171,C1
0.35646,0.86103,7.1451,0.987,-1.7258,1.0972,-4.007222,0.169095,C1
-2.6211,-1.7531,5.9829,-0.92884,-0.52568,-1.1938,4.31672,-0.568563,C1
-1.5056,1.2581,5.8552,-1.2856,-1.7685,-0.98085,-4.226293,-0.161845,C1
-0.4081,-1.7677,6.6329,0.49627,-2.0734,-1.7554,1.890871,-0.19787,C1
-0.80643,0.50084,7.9572,0.083234,-1.9917,1.7355,-3.246832,0.159177,C1
1.1999,-0.91277,5.1457,1.6038,0.81333,1.686,-0.693114,-0.598907,C1
2.0636,-0.74791,6.8547,0.64551,-2.2086,0.67088,8.49635,-0.581203,C1
-1.9215,-0.27639,4.6691,-0.69834,-0.2955,3.133,3.399478,0.740384,C1
2.7503,-1.4988,6.8467,1.9813,2.336,-0.53692,8.791188,-0.009796,C1
2.6291,-2.1462,5.1664,-1.0297,-0.41201,0.54651,1.410505,-0.122272,C1
-2.2302,2.102,6.288,-0.77821,1.7759,-1.7668,-8.118421,1.165404,C1
0.24065,3.8909,6.5759,-0.28222,0.71851,-2.7333,-2.243533,-0.980344,C1
-2.5217,-2.3021,4.8202,-1.0023,2.3507,1.3365,-1.003289,-0.177478,C1
2.3882,-0.45695,5.1815,0.4323,2.2755,1.2548,-4.276209,1.635804,C1
-0.19669,1.0407,5.6164,1.1061,-2.5589,4.9567,0.414402,-2.435742,C1
-1.6906,3.071,6.0534,-0.24737,-1.669,-0.25833,0.922737,1.984957,C1
-0.58225,0.10802,5.7573,-1.086,-1.4246,1.0928,-2.244965,0.955957,C1
-0.095795,-2.1065,5.3834,1.2877,0.52454,-0.46827,-4.11938,-0.520087,C1
-1.2285,1.9455,5.2852,-0.67541,-1.942,4.1283,-4.616534,-1.432702,C1
0.78143,1.4359,4.5427,-0.95085,-0.46199,0.59492,-5.949964,-0.120585,C1
-1.4836,-2.7194,6.163,0.11236,-0.26814,-1.3225,1.283109,-0.097569,C1
-2.5716,1.1779,5.3286,0.63946,-0.0525,0.43454,4.041277,1.910626,C1
0.54146,3.0983,4.8542,0.005052,-2.0868,3.7752,-1.41063,-0.44772,C1
3.5229,-0.50836,4.8331,1.6616,2.7154,0.31024,-4.555177,0.048147,C1
-0.91654,0.28247,5.1441,-1.3947,-0.51564,-0.94915,-0.544102,-0.153333,C1
0.65289,0.60934,6.6858,-1.1081,-0.19087,3.5815,-3.15646,-2.172625,C1
-2.7547,-1.8389,5.4326,-1.2806,-0.79312,1.0874,-1.202251,0.902285,C1
-0.3069,-0.12665,7.6624,1.3409,-1.5531,-0.66122,-9.428088,0.385174,C1
-1.4696,4.223,5.1463,-1.034,-0.66048,0.71718,4.657209,0.504073,C1
5.6775,-0.057295,5.9633,-0.87794,-0.4186,1.5221,7.168264,-0.478696,C1
-1.2301,-0.99325,4.9331,0.86196,-0.38658,-2.1607,6.166278,-0.384803,C1
-0.60769,0.70845,5.1094,0.6561,-0.29264,2.0855,2.22522,-0.656296,C1
-0.44254,-2.9107,7.1402,1.2237,2.5123,1.4441,4.943558,0.128992,C1
-0.20238,-1.1302,6.0838,-0.747,1.9362,2.8685,3.28413,-0.007226,C1
-1.8748,-0.79527,5.1921,1.0702,-2.4385,-0.99488,-5.223148,-0.866579,C1
4.0367,-0.29679,4.7047,0.43178,-0.49211,-2.0699,4.376099,-2.060914,C1
-0.51571,2.2204,8.0258,-1.1493,2.2951,-1.54,1.553697,0.553961,C1
-0.85156,0.53263,5.5106,-0.77955,-1.4209,-1.2371,-1.77736,0.751228,C1
